NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
NEW PERSPECTIVES THEATRE COMPANY INC,Multiracial,theater,Y,Y,n/a,NA,NA,NA,NA,-6166,-15883,6217,69808,76025,46893,10018-4008,199305,NA,2018
NEW STAGE THEATRE COMPANY INC,White,theater,N,N,Immigrant,N,NA,NA,NA,-9779,-1437,-8342,62237,53895,41102,10004-3236,200301,NA,2018
NEW YORK BAROQUE DANCE CO INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-53500,-53911,411,105000,105411,27114,10009-7360,197902,NA,2018
NEW YORK CONCERT ARTISTS & ASSOCIATES INC,Diverse,music: classical,N,Y,n/a,NA,NA,NA,NA,-108802,3406,-112208,347277,235069,196314,10023-6336,201409,NA,2018
NEW YORK MUSIC FOUNDATION INC,White,music: classical,N,N,n/a,ND,NA,NA,NA,-9836,-2579,-7257,41626,34369,24490,10033-2508,201410,NA,2018
NEW YORK SCANDIA SYMPHONY INC,White,music: classical,N,N,n/a,N,NA,1,10000,-13028,-20161,10426,47477,57903,57903,10033-0000,199012,NA,2018
NEW YORK SHAKESPEARE EXCHANGE INC,White,theater,N,N,n/a,Y,NA,9,6905,-566,-2572,1495,63247,64742,40413,11238-1709,201201,NA,2018
NON-STOP MEDIA INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-14167,-21345,6395,103899,110294,3772,11374-3655,200910,NA,2018
NORTH AMERICA PASTEL ARTISTS ASSOCIATION INC,White,visual arts,N,N,n/a,ND,NA,NA,NA,-3742,-2272,-1470,4500,3030,500,NA,200703,NA,2018
NOTES IN MOTION INC,White,dance: other,N,N,n/a,N,NA,1,1000,-21060,-40078,19018,172476,191494,83900,10012-1553,200205,NA,2018
NVAK INC,White,multidisciplinary,Y,N,Women,N,NA,NA,NA,-7858,NA,-7858,121266,113408,113408,10003-2684,201811,NA,2018
ON BROADWAY PERFORMING ARTS TRAINING PROGRAM INC,White,theater,N,N,Youth,N,NA,NA,NA,-4193,NA,-4338,68554,64216,11902,10025-0000,201706,NA,2018
ONCE UPON A TIME INC,White,theater,N,N,n/a,N,NA,NA,NA,-50643,-10303,-33988,127535,93547,9132,11418-2314,201403,NA,2018
ONE YEAR LEASE INC,White,theater,N,N,n/a,N,NA,NA,NA,-55321,-36760,-17802,283366,265564,80530,11217-1695,200203,NA,2018
OPEN SOURCE GALLERY INC,White,visual arts,N,N,n/a,N,NA,2,25000,-958,9026,-9828,316692,306864,87562,11215-6974,201106,NA,2018
OPERA ON TAP,White,opera,N,N,n/a,Y,NA,3,12500,-12398,-16153,3755,197255,201010,105394,11218-2408,200701,NA,2018
OPERA ORCHESTRA OF NEW YORK INC,White,opera,N,N,n/a,MD,closed?,3,3000,-3458,15696,-18932,333864,314932,0,10028-4305,196712,NA,2018
ORIGINAL MUSIC WORKSHOP INC,White,music: other,N,N,n/a,N,NA,19,552426,-823974,-1557270,742706,3718167,4460873,3390782,11249-3009,201010,NA,2018
OYSI INC,Indigenous,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-6634,272,-6906,6906,0,0,10013-3073,201111,NA,2018
PAINTING SPACE 122 INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-417,13576,-13993,13993,0,0,10009-5782,199010,NA,2018
PAKISTAN INDEPENDENCE DAY PARADE & FAIR COMMITTEE INC,Asian/Pacific Islander,multidisciplinary,N,Y,n/a,NA,NA,NA,NA,-3973,NA,-15409,146180,130771,0,10306-3367,201408,Cultural Heritage,2018
