NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,Cultural Heritage,closed?,# of foundation grants,total foundation grant income,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,year
RED BULL THEATER INC,White,theater,N,N,n/a,Y,NA,NA,2,14000,-11689,48876,-60565,461558,400993,279499,10025-1507,200308,2011
REEL STORIES TEEN FILMMAKING INC,White,film/electronic/media,Y,N,Youth,N,NA,NA,NA,NA,-288757,NA,0,0,0,0,11215-1490,200501,2011
RELATIONSHIP PERFORMANCE AND ARTSGROUP INC,White,theater,N,N,Women,Y,NA,NA,NA,NA,-39296,NA,-3978,43967,39989,33493,10009-5817,200702,2011
REVERIE PRODUCTIONS INC,White,music: other,N,N,n/a,MD,NA,NA,NA,NA,-9767,-15735,5968,21342,27310,14241,11215-1493,199910,2011
RHIZOME COMMUNICATIONS INC,White,visual arts,N,N,n/a,N,NA,NA,4,90500,-41350,-31277,-10073,381261,371188,297145,10002-1218,199908,2011
RICHARD ALLEN CENTER FOR CULTURE & ART,Multiracial,theater,N,Y,Youth,NA,NA,closed 2010?,NA,NA,-3684,40693,-2447,29487,27040,18450,10025-0000,196903,2011
RIDGE STREET THEATER INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-477,14298,-14775,83210,68435,0,10011-8269,199005,2011
RIO GRANDE UNION INC,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-31073,-29639,-1434,95993,94559,74010,10012-0000,197309,2011
ROCK AND ROLL FOREVER FOUNDATION INC,White,music: other,N,N,n/a,ND,NA,NA,NA,NA,-413137,NA,-521931,660819,138888,138888,10011-8411,201201,2011
ROYAL FAMILY PRODUCTIONS INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-27806,26,-28012,252234,224222,134088,10033-4545,200806,2011
SAEKO ICHINOHE AND CO INC,Asian/Pacific Islander,dance: other,N,Y,n/a,NA,NA,closed 2014?,NA,NA,-2462,NA,-1994,17240,15246,11896,10019-6068,197511,2011
SIKH ART & FILM FOUNDATION INC,Asian/Pacific Islander,multidisciplinary,N,Y,Religion: Sikh,NA,Cultural Heritage,NA,NA,NA,-17399,-14051,-3348,256702,253354,0,10018-0000,200609,2011
SINFONIETTA OF RIVERDALE,White,music: classical,N,N,n/a,N,NA,NA,NA,NA,-11878,-18038,-6150,61630,55480,17397,10463-2156,200909,2011
SJ CHINESE CULTURE STUDIO INC,Asian/Pacific Islander,folk arts/heritage,N,Y,n/a,NA,Cultural Heritage,NA,NA,NA,-8061,NA,-4449,49181,44732,44732,11358-3152,200712,2011
SKYSAVER PRODUCTIONS INC,White,theater,N,N,Youth,ND,NA,NA,NA,NA,-112,4210,-41,65021,64980,48300,10003-0800,198210,2011
SLIDELUCK POTSHOW INC,White,multidisciplinary,N,N,n/a,ND,NA,NA,NA,NA,-28510,-56521,-1388,24568,23180,16260,10009-7206,200906,2011
SOCIETY FOR THE STUDY OF MYTH AND TRADITION INC,White,folk arts/heritage,N,N,n/a,MD,NA,NA,NA,NA,-286186,-167239,-118947,160422,41475,0,10011-9260,197603,2011
SOKOLOW THEATRE DANCE ENSEMBLE LTD,White,dance: other,N,N,n/a,N,NA,NA,NA,NA,-27612,-28524,1912,29677,31589,31589,10113-0351,200403,2011
SPANISH DANCE ARTS COMPANY INC,Hispanic/Latino,dance: other,N,Y,n/a,NA,NA,NA,NA,NA,-21831,-96463,74632,602512,677144,259226,10036-7408,198512,2011
STAGEPLAYS THEATRE COMPANY INC,White,theater,N,N,n/a,N,NA,NA,NA,NA,-337333,-307309,-30024,47810,17786,17786,10017-0000,199405,2011
STATEN ISLAND ORCESTRA,White,music: classical,N,N,n/a,N,NA,NA,NA,NA,-63079,-70171,7092,45440,52532,43345,10301-2004,200602,2011
STELLA ADLER STUDIO OF ACTING,White,theater,N,N,n/a,Y,NA,NA,2,20000,-912530,-782846,-129684,5905744,5776060,198712,10001-6934,200008,2011
