NAME,Racial Category,Discipline,Diversity/Social Justice Emphasis?,OOC?,Other Identity Group,Diversifying,closed?,# Foundation Grants,$Amt Foundation Grants,FUNDBAL,NETA_BOY,NETINC,EXPS,TOTREV,CONT,ZIP,RULEDATE,Cultural Heritage,year
LIFE THROUGH DANCE INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-25891,-40804,17511,22434,39945,38451,10025-3404,199310,NA,2019
LIGHT INDUSTRY CINEMA PROJECTS LTD,White,film/electronic/media,N,N,n/a,N,NA,NA,NA,-28840,-8052,-28840,227349,198509,104279,11222-5471,200902,NA,2019
LOUISE T BLOUIN FOUNDATION INC,White,multidisciplinary,N,N,n/a,N,closed?,NA,NA,-6581502,-6425133,-156369,52040,-104329,0,10005-4418,201508,NA,2019
LUMIS MEDIA INC,White,film/electronic/media,N,N,n/a,ND,NA,NA,NA,-55607,-51897,-3710,3710,0,0,10044-0124,201701,NA,2019
MAJOR MUSIC INTERNATIONAL CORPORATION,Black,music: other,N,Y,Youth,NA,NA,NA,NA,-7637,12357,-19994,219363,199369,5883,11412-2428,200805,NA,2019
MANHATTAN ENSEMBLE THEATRE INC,White,theater,N,N,n/a,N,NA,NA,NA,-521109,NA,3434,51088,54522,54500,10014-3276,199912,NA,2019
MANHATTAN YOUTH BALLET INC,White,dance: ballet,N,N,Youth,N,NA,2,50000,-85285,-61904,-23381,799374,775993,0,NA,200703,NA,2019
MANNA HOUSE WORKSHOPS INC,Black,music: other,Y,Y,n/a,NA,NA,NA,NA,-288573,NA,-42694,210176,167482,167482,NA,196804,NA,2019
MARK STUART DANCE THEATRE INC,White,dance: other,N,N,n/a,N,NA,NA,NA,-41322,-58652,17330,18728,36058,36058,10036-6878,201201,NA,2019
MARTHA GRAHAM SCHOOL OF CONTEMPORARY DANCE INC,White,dance: other,N,N,n/a,N,NA,1,16000,-459107,-448743,-10364,1092756,1082392,189727,10014-2010,195901,NA,2019
MELA FOUNDATION INC,White,multidisciplinary,N,N,n/a,N,NA,1,848,-126072,-76285,-49787,367161,317374,225848,10013-3414,198710,NA,2019
METEOR FILMS INC,White,film/electronic/media,N,N,n/a,ND,NA,NA,NA,-5980,1,-5980,33882,27902,20000,10014-7500,200411,NA,2019
MILLENNIUM DANCE COMPANY INC,Black,dance: other,N,Y,Youth,NA,NA,NA,NA,-9534,-26234,16700,29535,46235,0,10453-2904,199712,NA,2019
MIMI GARRARD DANCE COMPANY INC,White,multidisciplinary,N,N,n/a,N,NA,NA,NA,-63213,-62969,-244,4636,4392,2520,10175-0003,197301,NA,2019
MIRROR THEATRE LTD,White,theater,N,N,n/a,N,NA,NA,NA,-8312,-31354,23042,154853,177895,174110,10021-9222,198301,NA,2019
MISNOMER,White,dance: other,N,N,n/a,N,NA,NA,NA,-373023,-361336,-11687,598746,587059,160666,11218-2108,200809,NA,2019
MODERN-DAY GRIOT THEATRE COMPANY,Black,theater,N,Y,n/a,NA,NA,NA,NA,-2219,NA,-2219,8719,6500,5000,11217-1695,201302,NA,2019
MOMA AUXILIARIES INC,White,visual arts,N,N,n/a,N,NA,NA,NA,-1252533,-1252533,0,0,0,0,10019-5401,199802,NA,2019
MUKTADHARA FOUNDATION INC,Asian/Pacific Islander,literary arts,N,Y,n/a,NA,NA,NA,NA,-894,2911,-3805,116635,112830,51330,11377-3619,201311,Cultural Heritage,2019
MUSEUM OF AMERICAN FINANCE,White,other,N,N,n/a,N,NA,4,61250,-325804,2927,-328732,1652231,1323499,1361626,10004-1010,199201,NA,2019
